anna_karenina_en.txt
--------------------
350276 words, 1531808 characters, 13593 unique words, 53 unique characters
Overall: 4.4 avg word length, 4 median word length ('only'), 8 p90 word length ('external')
Unique words: 7.6 avg word length, 7 median word length ('shouted'), 11 p90 word length ('speculators')

Words by length                    Words by frequency                 Words sorted alphabetically        Character frequencies
superstructure 1                   our 210                            adverb                             
serpuhovskoy’s 1                   darya 209                          adverbs                            
serpohovskoy’s 1                   great 208                          advice                             
reorganization 2                   turned 207                         advise                             
comprehensible 5                   young 207                          advised                            
night-watchman 1                   its 205                            adviser                            
well-preserved 1                   upon 205                           advising                           
sturdy-looking 1                   alexandrovna 198                   advocate                           
disenchantment 1                   house 197                          advocated                          
conventionally 1                   whom 196                           advocates                          
schoolmistress 1                   give 193                           advocating                         
gray-whiskered 3                   men 193                            afar                               
misinterpreted 1                   expression 192                     affability                         
uncontrollably 2                   last 191                           affable                            
respectfulness 1                   voice 191                          affair                             
self-satisfied 3                   moment 190                         affairs                            
writing-tables 1                   woman 188                          affect                             
ecclesiastical 5                   simply 186                         affectation                        
posting-horses 1                   i’ve 186                           affected                           
blotting-paper 1                   door 184                           affectedly                         
administration 1                   alone 183                          affecting                          
representative 2                   coming 181                         affection                          
congratulation 1                   mind 181                           affectionate                       
sledge-drivers 1                   i’ll 180                           affectionately                     
apologetically 1                   talking 179                        affects                            
confectioner’s 1                   there’s 178                        affirmative                        
laughing-stock 2                   carriage 178                       affirmatively                      
discontentedly 3                   you’re 178                         affirming                          
unfaithfulness 3                   smiling 177                        afford                             
uncomprehended 2                   getting 174                        afforded                           
insurmountable 1                   taking 174                         affords                            
intellectually 1                   towards 173                        affront                            
insignificance 1                   suddenly 173                       aflame                             
vassiltchikova 1                   wanted 173                         afraid                             
pre-raphaelite 1                   moscow 173                         afresh                             
hypocritically 1                   glad 173                           after                              
perfectibility 1                   everyone 168                       after-dinner                       
centralization 1                   sat 167                            aftermath                          
proportionally 1                   prince 165                         afternoon                          
commissionaire 3                   countess 164                       afterthought                       
half-desperate 1                   table 161                          afterwards                         
preserving-pan 1                   under 161                          agafea                             
mothers-in-law 1                   tried 159                          again                              
demonstrations 1                   seen 159                           against                            
cartridge-belt 1                   side 158                           agaric                             
shooting-boots 1                   god 158                            age                                
three-year-old 1                   thinking 158                       aged                               
all-conquering 1                   things 157                         aged-looking                       
vozdvizhenskoe 8                   help 156                           agency                             
kirillovitch’s 1                   gave 156                           ages                               
legitimization 1                   three 155                          aggravated                         
sickly-looking 1                   happy 154                          aggravating                        
constitutional 1                   brought 154                        aggressively                       
coquettishness 1                   place 154                          agile                              
croquet-ground 1                   already 154                        agitate                            
horse-breeding 1                   having 153                         agitated                           
cross-examined 1                   saying 153                         agitating                          
reasonableness 1                   whether 153                        agitation                          
vindictiveness 2                   walked 150                         ago                                
congratulating 1                   believe 149                        agonies                            
hundred-rouble 2                   find 149                           agonized                           
manifestations 1                   seeing 147                         agonizing                          
tortoise-shell 1                   dinner 146                         agonizingly                        
vashtchenkov’s 1                   sitting 146                        agony                              
irregularities 1                   answer 146                         agree                              
self-assertive 1                   speak 146                          agreeable                          
unemphatically 1                   won’t 145                          agreeably                          
recriminations 1                   met 144                            agreed                             
sentimentality 1                   yet 144                            agreeing                           
acknowledgment 1                   world 143                          agreement                          
booking-office 1                   set 142                            agrees                             
hollow-chested 2                   son 142                            agricultural                       
two-and-twenty 1                   ought 141                          agriculture                        
self-sacrifice 2                   course 141                         agriculturist                      
artilleryman’s 1                   feel 141                           ah                                 
speckly-headed 1                   varenka 141                        aha                                
white-breasted 1                   myself 140                         ahead                              
sweat-drenched 1                   gone 140                           ai                                 
responsibility 1                   part 138                           aid                                
